Id,Transcript,Question
cb844533-eef5-4d3a-bd0b-4cfde4c27352,2441,What precautions did the doctor advise?
fa4943df-c3fd-4896-9734-db4cd2893e33,2441,What drug did the doctor prescribe?
f20a8ce8-dc4c-46ff-89d6-00b8d9890250,1717,What is the patient's name?
5ff3d9f6-5010-42aa-b540-b047b6ef2c76,1717,What is the patient's age?
7691dabc-217e-43d8-a93b-5ab5a215e9f0,1717,What is the patient's condition?
41badf1c-bb00-41af-96ff-e17405661ac4,1717,What symptoms is the patient experiencing?
ab2064f6-c92d-431f-bc47-3406e47bc7f2,1717,What precautions did the doctor advise?
e34338ec-1481-4cea-b8d7-dd416fac0cca,1717,What drug did the doctor prescribe?
cb4df6dc-b68c-4c09-9d76-f374cbec71c5,3206,What is the patient's name?
7ba983ae-61a0-4768-ab54-70468b2a8a99,3206,What is the patient's age?
18ddcf22-57a8-4460-a50e-3a1698d5847b,3206,What is the patient's condition?
708022cf-93fd-49ee-8a7c-4cccc0246776,3206,What symptoms is the patient experiencing?
1affa12c-fe3c-4c21-b38e-90f423aa0bb5,3206,What precautions did the doctor advise?
56b5361b-91fd-4835-9e81-8fc854fd614e,3206,What drug did the doctor prescribe?
05dc7c45-1d0f-4bb2-81d8-e49844785315,742,What is the patient's name?
8609bd33-2314-440c-b6c6-f10ea1a64a19,742,What is the patient's age?
57b349ae-2215-4e67-bc0f-4992c3dfa699,742,What is the patient's condition?
49b1f42c-b9d4-492a-abcf-e8e224a10f1c,742,What symptoms is the patient experiencing?
053bfdf2-1596-402f-9bf3-e40d0a4f769a,742,What precautions did the doctor advise?
1af24e6f-9476-477c-a73c-a1e14b744931,742,What drug did the doctor prescribe?
649d0140-7fdb-4dce-9eb5-82b7cfe5fd01,3728,What is the patient's name?
86f8ec79-5b69-46fa-85f9-867cb24b41aa,3728,What is the patient's age?
2099d2fa-47fe-46f3-9463-32b1465f3d11,3728,What is the patient's condition?
e494ac7c-d16c-4801-a038-18bb47b96b15,3728,What symptoms is the patient experiencing?
b6a91bba-6548-4af7-8e19-79846fa69cc5,3728,What precautions did the doctor advise?
c482dc79-5527-4ad7-a901-44339fcfd784,3728,What drug did the doctor prescribe?
1734c409-2ce0-422a-a9f8-9d694b2cfc08,3414,What is the patient's name?
492cafd1-da80-45fd-8465-eca9ee5cd810,3414,What is the patient's age?
a9aede04-b091-444c-9d2e-3b87c8cb1220,3414,What is the patient's condition?
99e815fa-3c73-4e92-b218-a0f47aaf499d,3414,What symptoms is the patient experiencing?
9299c88d-8229-4ffb-8341-6c467fd6901f,3414,What precautions did the doctor advise?
a646c4f8-a9c5-478d-a18c-93060ea5a63b,3414,What drug did the doctor prescribe?
1e48062a-50d6-4d7e-87bc-bef8aed4a03a,1426,What is the patient's name?
9a3c60dd-d047-48b6-9628-17a585fa342f,1426,What is the patient's age?
c5745fa3-bcb9-41eb-b8db-f8c4525a27f2,1426,What is the patient's condition?
6bbe4b56-36f7-421b-86b9-967a9aa01d73,1426,What symptoms is the patient experiencing?
426e1f3e-75ca-4a2b-a988-7f9e36ce0e23,1426,What precautions did the doctor advise?
e4dc6fff-0f84-4e71-ba46-fc2e07bc43f8,1426,What drug did the doctor prescribe?
568c18b8-c899-4c70-9176-31798cb3d258,2119,What is the patient's name?
8cee64e8-7f38-4990-9c0c-0d81d9c73577,2119,What is the patient's age?
25ce260e-fc88-4177-b3b3-83ecc3df1751,2119,What is the patient's condition?
50668840-1f47-4e1d-b249-9ce9b7371833,2119,What symptoms is the patient experiencing?
610bea0a-9f4f-4336-b176-e5b43d9efde9,2119,What precautions did the doctor advise?
a4069ed3-0bef-4b2c-ae84-517611233ad5,2119,What drug did the doctor prescribe?
c4671ef0-fcf2-4723-aa59-844870d4474c,964,What is the patient's name?
682c7fc3-52d3-4be3-9cfd-6a469f0f12d9,964,What is the patient's age?
8ae5531e-8685-4937-a1cb-e81d8c00ec11,964,What is the patient's condition?
815d7cdf-2965-4f38-8ff9-b52b6a0af275,964,What symptoms is the patient experiencing?
2a2ca109-52f8-4f88-acc4-8fcbaec704d3,964,What precautions did the doctor advise?
22fa8564-3ce4-45c0-bcfb-a7f15070766a,964,What drug did the doctor prescribe?
65936ff2-63d6-41bd-aef9-ca108b48be6a,2340,What is the patient's name?
460a62c7-43f8-4f71-a4dd-202019d244a8,2340,What is the patient's age?
0acec6f4-23e6-4b0e-845c-4b7d7025cf3a,2340,What is the patient's condition?
9d1511c1-5fe0-4576-aabe-6b2d2e52b3ea,2340,What symptoms is the patient experiencing?
f29c208f-b974-4c6a-a3fd-65f050ce9850,2340,What precautions did the doctor advise?
85b722e8-e6c8-4755-ac17-3e1ce2233680,2340,What drug did the doctor prescribe?
29134a32-6101-4b0e-96cb-70d7a3654da8,886,What is the patient's name?
1bdb75db-2c03-47d7-9d0d-a5802efcdc41,886,What is the patient's age?
f91598b4-5ac4-4b79-8b41-78614abad8b3,886,What is the patient's condition?
4eb5fc12-08c4-45c0-96bf-7aeae7e7b6b2,886,What symptoms is the patient experiencing?
eabc0257-293c-45ee-9c59-61c48c7d5c72,886,What precautions did the doctor advise?
8a5fc5c6-cea3-4eed-946c-5b3104ba027a,886,What drug did the doctor prescribe?
6ef1fc68-9f6f-4c46-b981-d5f6fdd5bb83,2056,What is the patient's name?
f9585109-1fea-46e7-92b5-66b2457dd4ec,2056,What is the patient's age?
2b7697b4-9c2d-4c85-b484-8ec604e0382f,2056,What is the patient's condition?
2dad7452-7a44-4f8e-b328-6ba7dd2c1479,2056,What symptoms is the patient experiencing?
6325c417-917e-404b-86a4-4a9796b9b25d,2056,What precautions did the doctor advise?
793b0816-c61e-4af6-88d9-fe5dc1903a1e,2056,What drug did the doctor prescribe?
f62482ff-7018-4dbc-a0e8-cfc7056da972,3878,What is the patient's name?
b1c345c3-8225-4625-b6a5-dce803d41d32,3878,What is the patient's age?
07cfc4c6-8a2e-4a9f-bc7c-38d441de1da4,3878,What is the patient's condition?
bc707e8e-79e3-4413-90e7-58818ef7cc13,3878,What symptoms is the patient experiencing?
4ab3df8a-5a22-4508-b72f-4c26a91b4449,3878,What precautions did the doctor advise?
900cdfe6-15f7-4c8b-bfb7-4fbfd845e0e8,3878,What drug did the doctor prescribe?
5936bd0b-832e-49e1-8d3a-4b63a4a5c251,420,What is the patient's name?
5c5fa2c9-4894-4aab-9a36-49ab8818514a,420,What is the patient's age?
0c58e931-79c3-4fa1-807e-e985ec1baa5f,420,What is the patient's condition?
5d31ad2e-3e79-477a-ab9f-6296425bee29,420,What symptoms is the patient experiencing?
625aa485-d999-45e0-a782-46674b4e762d,420,What precautions did the doctor advise?
37df2618-a1af-4e21-8d16-49893210d6bd,420,What drug did the doctor prescribe?
5ecf9d2c-c9ff-4b0a-b359-f449953d6ebe,2747,What is the patient's name?
27ae2e8a-7c93-4bd3-8e30-851fe4071d4c,2747,What is the patient's age?
f78f7c27-c711-4746-9f63-77b36cb23349,2747,What is the patient's condition?
baedf834-a0bb-44ca-b000-b7f4e0d29365,2747,What symptoms is the patient experiencing?
8f3b0ebf-961d-4aff-a69b-98b4cbe88171,2747,What precautions did the doctor advise?
c35c10f2-77bc-4931-b508-1c0428435d97,2747,What drug did the doctor prescribe?
d29baa55-4a57-446f-8fdd-64692d9687f9,3951,What is the patient's name?
53dc845a-7a3c-4c11-b861-247c544a8c17,3951,What is the patient's age?
2a02ab15-deff-4edd-a8df-af4473d621c7,3951,What is the patient's condition?
a2ffd743-b738-4736-95db-b36802828c84,3951,What symptoms is the patient experiencing?
1a526d31-3945-4fd6-af05-ff833a68581b,3951,What precautions did the doctor advise?
5218739b-f326-4dc2-a992-a9748966aac8,3951,What drug did the doctor prescribe?
fb8efbda-6c87-4698-9a16-1b652099e1ab,4633,What is the patient's name?
61d0e860-36c5-4afb-8c4f-ceb8a6ebcd42,4633,What is the patient's age?
30d3a667-8a12-4437-afac-fd90399265c3,4633,What is the patient's condition?
d421524b-9ae9-4279-91cf-d4b62086d5a0,4633,What symptoms is the patient experiencing?
f633b731-52f1-49c1-bea2-7f20e1f91df9,4633,What precautions did the doctor advise?
3351fb89-32ee-47c2-9c93-2aa977087e95,4633,What drug did the doctor prescribe?
98a7065c-8289-484f-b0e6-6ef371c031c8,4177,What is the patient's name?
8c6be99a-470f-43f0-a445-a40d55fbd666,4177,What is the patient's age?
f4153bdd-7d70-468b-b2d8-1ece67963e00,4177,What is the patient's condition?
99651d86-3342-4427-bea1-f39cd0b978f0,4177,What symptoms is the patient experiencing?
eaf87e5f-b207-4493-bb7e-4ef33ea32001,4177,What precautions did the doctor advise?
1c56fcc1-6c7f-4b78-8f65-8344d91d8ef2,4177,What drug did the doctor prescribe?
5c931312-be75-4a98-a132-4b0376d6fc5c,2695,What is the patient's name?
769fbe89-53a6-4930-8032-d0123b81832b,2695,What is the patient's age?
9d18986e-ad12-4d08-83c3-ae626da9fecf,2695,What is the patient's condition?
691ea9aa-f554-4c47-8eb0-4e2c1e9f2f9b,2695,What symptoms is the patient experiencing?
9cbe5b02-a27a-4df3-be67-6076c19518de,2695,What precautions did the doctor advise?
127dceaa-6e90-4e89-bcc6-982dd74dea8d,2695,What drug did the doctor prescribe?
3299e7cf-8fcb-407d-9de7-3a3d6564a528,4580,What is the patient's name?
4cdeb67b-ca1f-493c-8572-0b2fb0c92a12,4580,What is the patient's age?
7f150dac-ead0-4a81-92e1-35f1565c5256,4580,What is the patient's condition?
21959360-1206-41ab-a2cb-2be18907b2aa,4580,What symptoms is the patient experiencing?
13fb8e9e-c57a-4cf8-b52b-61348ea58f77,4580,What precautions did the doctor advise?
cc89c543-d1d5-4026-8150-1fa5e27b42bf,4580,What drug did the doctor prescribe?
ea977b91-bf71-408a-b773-84ac9cf946d5,4323,What is the patient's name?
55d6d020-0e4d-4467-8668-c42cce0dceae,4323,What is the patient's age?
5a5cbdd3-6624-4280-bf7e-5e9c6e2c8a10,4323,What is the patient's condition?
7dbe1688-9cb2-4aa0-a1e9-8c9711c94381,4323,What symptoms is the patient experiencing?
6260ee0a-bd76-46de-9b5b-645ebd215ff1,4323,What precautions did the doctor advise?
69b3b563-62e0-44b4-9753-22ed850c453f,4323,What drug did the doctor prescribe?
468b6078-2ca7-4381-aced-ccef910f594a,745,What is the patient's name?
e80bea84-0711-42bd-80a0-f738a3742ec3,745,What is the patient's age?
e2f024af-ef7a-494e-ad0c-f60ffe63c77e,745,What is the patient's condition?
6884c828-79bb-4ff8-927e-050d1fc3298d,745,What symptoms is the patient experiencing?
1e9edc55-bbf6-45b9-98fc-43de9ae1f994,745,What precautions did the doctor advise?
ab10b0af-c24f-4041-88c6-1c81725802e9,745,What drug did the doctor prescribe?
1b2269f6-76dc-4183-815b-1290510e5793,4009,What is the patient's name?
3a4c0aea-04d1-41e8-a94e-0857c17a7ea1,4009,What is the patient's age?
88a80ec1-73b9-4a9b-b300-aa3a47968bd0,4009,What is the patient's condition?
f29136dc-b970-4990-aa4c-735959558ff9,4009,What symptoms is the patient experiencing?
66335f06-123f-4505-9e1b-a6610051b44b,4009,What precautions did the doctor advise?
d8c08143-e05e-4f7c-842e-8f12818039f6,4009,What drug did the doctor prescribe?
61bb72cb-9ce3-4779-8083-a2c0961dccd9,2764,What is the patient's name?
97b36b48-54a4-49d5-8fa2-b0cdd43efa64,2764,What is the patient's age?
5106a8f3-4a8d-4b5e-980d-6814dfbda62a,2764,What is the patient's condition?
2e615a98-8f29-4a41-adb2-934723bb945e,2764,What symptoms is the patient experiencing?
15a13941-91df-4007-be39-80d7e38a67d0,2764,What precautions did the doctor advise?
ccb158d8-57e0-4c13-9840-2fa5392074b3,2764,What drug did the doctor prescribe?
9bd74fe9-3a7c-4a57-b31c-689cdc7d6777,4194,What is the patient's name?
932ab609-13c3-4276-9ae7-762205378f97,4194,What is the patient's age?
56c6fd2a-1ae6-4a2c-b49a-89d11a126c26,4194,What is the patient's condition?
533bccba-c1d5-4d4a-9036-111764b28202,4194,What symptoms is the patient experiencing?
49395d0b-d087-4dde-ab91-f178146c3035,4194,What precautions did the doctor advise?
aad80a76-365e-4def-8b7c-fa10dc0358f7,4194,What drug did the doctor prescribe?
e72497ff-5112-4590-960b-70b39bf907c2,4726,What is the patient's name?
b3b5b17e-a437-470f-af60-ba1f10e646b0,4726,What is the patient's age?
bdc49cef-76ad-49a2-9602-bac9cbcef3e8,4726,What is the patient's condition?
f0c5bf13-2366-460c-a2e2-307e06d1744a,4726,What symptoms is the patient experiencing?
3c7aa8b0-b1b2-4f3f-8599-ced612062d1b,4726,What precautions did the doctor advise?
8721a375-6a75-4bdd-9625-24bb2ec21c14,4726,What drug did the doctor prescribe?
67b82f66-f8c6-479f-8c4a-91a5eaffecfc,607,What is the patient's name?
d4958131-9227-49f6-b8e7-253cfa8dee5e,607,What is the patient's age?
67bd2eb3-8dc7-438d-a121-320abe2b70cd,607,What is the patient's condition?
4797dd92-ec25-4d7c-8e63-edf5c84ae9ce,607,What symptoms is the patient experiencing?
3ef985cf-8a99-43a5-a029-a9804fa2cbf2,607,What precautions did the doctor advise?
b391f901-355f-4830-a770-ccdb559e8758,607,What drug did the doctor prescribe?
10eb3121-4fa6-4fc5-a867-e117c7a9cab5,3753,What is the patient's name?
7d7a16a0-19a5-4090-b98d-476f13e39b6a,3753,What is the patient's age?
66a92255-44f3-4327-a5f1-ca24339c2c0f,3753,What is the patient's condition?
07fca26b-6d05-4ad6-83f5-a5ad0ed14210,3753,What symptoms is the patient experiencing?
45c4cc38-7765-4189-9aaa-6b2b7f85bb81,3753,What precautions did the doctor advise?
bc76a14a-89ff-4f61-b93c-14d8bc607f0d,3753,What drug did the doctor prescribe?
ee234070-891d-45c1-bf4e-fd04582a25da,197,What is the patient's name?
03b3ba93-fbc2-45d6-8c02-c75b242bde4d,197,What is the patient's age?
d8b16bef-8ad0-483a-91aa-175e2c833182,197,What is the patient's condition?
789335c8-6e26-4574-ba51-db58a7b0186a,197,What symptoms is the patient experiencing?
acacdfb6-3d03-42d7-9f74-167cad40efe0,197,What precautions did the doctor advise?
2392ca8b-bd32-4704-b6ac-8795c5217e49,197,What drug did the doctor prescribe?
4bd87fb2-b99c-42a4-af19-4f28583fb09a,2098,What is the patient's name?
b8e79516-fb60-41bc-a20b-c0fb79e81f9b,2098,What is the patient's age?
ff53876e-1495-4e85-bc4d-d1e9a11c7528,2098,What is the patient's condition?
341071c6-cf73-4787-b2fe-dc286f47bfc7,2098,What symptoms is the patient experiencing?
bc512262-dd98-4b92-ae4a-bed8668670e7,2098,What precautions did the doctor advise?
20cb92c7-9c65-4454-8d09-c4e451e2b0b4,2098,What drug did the doctor prescribe?
6ba46748-c691-4b89-8db6-15e0daa0bf64,2500,What is the patient's name?
deace9fb-7b50-44b6-a54c-1243b9c34be3,2500,What is the patient's age?
49eee6a7-a1f7-49a2-9e0b-ebd605d1ac01,2500,What is the patient's condition?
aa602df5-1e2c-4c34-8eb3-7e4b7ea7d74c,2500,What symptoms is the patient experiencing?
81c889b3-be44-404a-8d56-fe35a5b183a4,2500,What precautions did the doctor advise?
3950d63f-4b08-4e14-8137-3e7e5b4b2ec6,2500,What drug did the doctor prescribe?
d33809c5-dae1-47c9-80c2-868212e5ef2f,709,What is the patient's name?
a29594c3-c97e-4683-96b9-715a630e2991,709,What is the patient's age?
be58d236-646e-415c-8630-9036b33ac6d2,709,What is the patient's condition?
e46abbf8-a0a1-4907-bb04-9c0310d05c6d,709,What symptoms is the patient experiencing?
22e1a3d5-ee1b-4947-8f83-45ff9b7ec3a3,709,What precautions did the doctor advise?
4310cc07-6f23-42dd-9e92-4a5362ddc5f3,709,What drug did the doctor prescribe?
64b0d373-01da-4674-9f2b-75eb244981ad,1076,What is the patient's name?
8fa7431f-7b59-488a-8471-dd5db04f3c0f,1076,What is the patient's age?
712e6c8c-a3d6-4afd-af76-5294b3a52a6c,1076,What is the patient's condition?
ea430d8f-a880-47f5-ab38-5c644f57c7ba,1076,What symptoms is the patient experiencing?
fd3a270f-fe76-434c-ac11-e1d7069233d6,1076,What precautions did the doctor advise?
438075ee-b62a-4e6e-9330-0e945d537587,1076,What drug did the doctor prescribe?
6cbe8b98-108c-4d61-b5b2-ea83807f6890,3770,What is the patient's name?
9aec11e2-8c3a-471a-b74a-798e2838655f,3770,What is the patient's age?
68d744be-1717-4eb1-9b39-55770f21caab,3770,What is the patient's condition?
c910076e-2493-44fb-a998-4729c1740d47,3770,What symptoms is the patient experiencing?
2a2fe3dc-6f16-4eda-873f-c66f9a55e9cc,3770,What precautions did the doctor advise?
d0c08567-e25c-44ca-9ded-46562132c780,3770,What drug did the doctor prescribe?
5de38607-0419-486c-aa3e-810e633461d1,4895,What is the patient's name?
ee3d0f4d-d453-40e0-aab3-9d88940f58f6,4895,What is the patient's age?
49352f0e-0d31-47f3-a98f-5c8eb934e8ee,4895,What is the patient's condition?
c3bd47e8-3722-4266-9750-f6fb9d4ce8e3,4895,What symptoms is the patient experiencing?
889f1a47-c70b-474e-9691-0e339b6f48bd,4895,What precautions did the doctor advise?
530286ef-b226-46a7-92f2-6eb4b26d680c,4895,What drug did the doctor prescribe?
7dbb94b6-1a7d-4ce8-992e-2dedc9a20902,872,What is the patient's name?
6a097efc-6662-48ac-b049-23ccfeac0316,872,What is the patient's age?
4d730cb2-d4d6-49bb-8f43-c2e0e7b9232a,872,What is the patient's condition?
e1183bcc-cfc6-4460-b357-05bd9af71c56,872,What symptoms is the patient experiencing?
2056fd15-1ba5-4b84-8e97-e7b2e2cd9441,872,What precautions did the doctor advise?
2c27eebf-0277-47aa-999c-820a728b8c23,872,What drug did the doctor prescribe?
eece5141-c9a6-4bf4-8f5a-809487e5f88f,86,What is the patient's name?
6f7a4b16-12a3-4776-8215-f62480fae71c,86,What is the patient's age?
0c47a6fc-9506-4ba2-81bb-4ce6e8860d79,86,What is the patient's condition?
ffc37907-9908-4852-9afd-e66fc2bdb94c,86,What symptoms is the patient experiencing?
2dc1c022-4da1-4854-8410-3810c136bd34,86,What precautions did the doctor advise?
505a9e83-c76b-4093-8828-22d0c4bc4d1b,86,What drug did the doctor prescribe?
50dea606-1d8a-4462-91a1-7fee4f534513,4074,What is the patient's name?
340840e9-205e-4148-a2c0-e93bef54c46e,4074,What is the patient's age?
6eabde06-9022-450e-9cdb-2c5034ae7856,4074,What is the patient's condition?
390e0c16-fc98-43e6-b0f9-713e93181630,4074,What symptoms is the patient experiencing?
390df362-cc78-4b68-a084-b5d0fd428b4f,4074,What precautions did the doctor advise?
3d325b48-99c0-44dc-841d-82a8a71bd483,4074,What drug did the doctor prescribe?
337a212f-e7da-4fbd-b565-3c0b6307d31f,1129,What is the patient's name?
232427fa-478b-46c8-9cc1-496bb339be6b,1129,What is the patient's age?
fec493dc-1c87-488a-9f17-2cb93070c01c,1129,What is the patient's condition?
49cb6abd-4988-41aa-a007-16bc3ea2cd09,1129,What symptoms is the patient experiencing?
1199ce95-18ae-4ef1-866c-dfb142288be7,1129,What precautions did the doctor advise?
5c8fd887-dab6-4e46-9a85-a62e30633935,1129,What drug did the doctor prescribe?
705cba41-fdba-45ff-a728-0204b6b4645a,4159,What is the patient's name?
a8cc6a70-94ad-43b2-a4d4-59523a67e44a,4159,What is the patient's age?
aa7683a3-3c89-4236-a6fb-424cac4c0cb0,4159,What is the patient's condition?
279fef51-356a-48d1-96fb-9e07c07a83a3,4159,What symptoms is the patient experiencing?
e5bdee1f-80b2-4885-bff9-8d1f9f1fdd10,4159,What precautions did the doctor advise?
f665233e-c5bd-4184-844e-60cad8cdb20e,4159,What drug did the doctor prescribe?
63a59bbe-62c5-4558-9f36-fd7c163546a9,4256,What is the patient's name?
510e5966-9da5-4f56-a91e-f2deb2d277a0,4256,What is the patient's age?
f1919a81-5f29-4bc6-980f-f2dd6274e488,4256,What is the patient's condition?
ca59a510-8aeb-4d58-9d5a-1b352b2e770d,4256,What symptoms is the patient experiencing?
910f17fc-b1d9-4ff7-ab09-0fae9cc7281e,4256,What precautions did the doctor advise?
2ce08875-2024-45df-9996-3179a9cfe61a,4256,What drug did the doctor prescribe?
085a976d-f2ec-4b3c-98da-9fd2f2c81c17,2131,What is the patient's name?
029162a4-c5f7-42e2-bd76-021cec9060b0,2131,What is the patient's age?
ec0e4938-623f-471e-9347-2de2296dd8bd,2131,What is the patient's condition?
918c34d3-c772-4140-a0f9-269f975d3ad8,2131,What symptoms is the patient experiencing?
15b0c2e9-4239-4e27-97a1-f864b3b68816,2131,What precautions did the doctor advise?
56442f79-e793-4bb8-a10d-70e3777b726d,2131,What drug did the doctor prescribe?
d8845eae-d61d-48ed-b813-4163d6077e1a,608,What is the patient's name?
6581c1b2-9d04-4003-9b67-8890eba1e1d1,608,What is the patient's age?
9d4ceed3-1f11-40e0-9261-4a05f0890879,608,What is the patient's condition?
be1e06f8-640b-4e42-993d-a79fa3b2b04d,608,What symptoms is the patient experiencing?
9cd7ac7a-029a-4138-9ce9-db28b26e65dd,608,What precautions did the doctor advise?
ecbd4170-ff69-444b-bb75-9e5612aafcc9,608,What drug did the doctor prescribe?
9b107b17-d1fe-4da6-996b-b9b07dc9ea75,726,What is the patient's name?
91909bb7-3990-4b7a-87a1-63abb9d12557,726,What is the patient's age?
b70ca4c6-bb4b-45d3-acb6-115f368708fb,726,What is the patient's condition?
40c6d1cb-1945-4967-987a-19447a1c2240,726,What symptoms is the patient experiencing?
94e38012-c0d3-4dd8-8f98-edbd070e8878,726,What precautions did the doctor advise?
c5393767-fbfc-47c5-a809-732added879f,726,What drug did the doctor prescribe?
67038a55-f8fa-4323-b7db-08035f0b2d8a,4128,What is the patient's name?
15580a43-f976-4cbc-b39e-144f2abe9d15,4128,What is the patient's age?
c3a3ce2f-dbc1-48a5-96a1-cc089a87d493,4128,What is the patient's condition?
43082e4e-044f-4ce1-a69b-2245517bf23c,4128,What symptoms is the patient experiencing?
a99a7c45-3317-4db5-9449-2c090eaa2764,4128,What precautions did the doctor advise?
0c76260e-89b6-4acf-9e0e-12dafd22ea57,4128,What drug did the doctor prescribe?
63f5c330-b678-4c3f-aa70-3f354c2a46d4,4150,What is the patient's name?
c1700c67-ba49-4d0a-b335-edafb3ff8fd8,4150,What is the patient's age?
820d8c4c-e240-4744-89bc-75c78530cf98,4150,What is the patient's condition?
f79b2a13-0624-45d1-8cc8-1eaf76b4d82e,4150,What symptoms is the patient experiencing?
b519d7b7-b426-4a40-861a-b88519334eab,4150,What precautions did the doctor advise?
84ecf31e-6a58-4432-a241-cb7986180095,4150,What drug did the doctor prescribe?
297454e7-a87b-4b1e-917f-b8ee39ba7a4b,2593,What is the patient's name?
7d04320e-bcf4-452c-b337-c1f112381aa5,2593,What is the patient's age?
f440c330-cdee-4725-8adf-b17dc69de0a3,2593,What is the patient's condition?
17b2afae-2441-43cb-8f9d-79e7b193244d,2593,What symptoms is the patient experiencing?
b6f881d4-897b-4fd0-a5eb-952d63d2ffa4,2593,What precautions did the doctor advise?
f46e224b-a6ac-4c66-8441-ee25fa8a89a3,2593,What drug did the doctor prescribe?
93c1dd08-8af2-4e08-a9f1-6cee5d21a9b2,3562,What is the patient's name?
57b106f0-7d49-4a7a-947b-f2e151468c56,3562,What is the patient's age?
c5fce820-9510-4a32-9ad0-86b7b0da4936,3562,What is the patient's condition?
387a8f19-3b1a-4c25-a228-1ccb914424e2,3562,What symptoms is the patient experiencing?
3992f318-7b92-4b38-b4ae-dbeb0d6c3e3a,3562,What precautions did the doctor advise?
094a8924-e8a3-4ece-bfb5-9aaa4e0746c3,3562,What drug did the doctor prescribe?
3ceecbec-ef32-46b1-a328-62e1674d1fa3,106,What is the patient's name?
11ee0890-ef32-4979-8c9c-109ee2eefbb1,106,What is the patient's age?
ed259ef4-219d-4854-b862-44e8921333f3,106,What is the patient's condition?
a6a30a42-2e58-4d92-b8cc-6c89c82a2fae,106,What symptoms is the patient experiencing?
14438153-cbd1-421f-91d4-09f8a2cd7af5,106,What precautions did the doctor advise?
